40.2,166.3,痩せ
48.7,155.2,普通
64.0,171.8,普通
61.2,181.7,普通
45.7,184.9,痩せ
80.6,161.5,肥満
65.7,178.3,普通
43.8,177.1,痩せ
63.3,159.0,肥満
85.0,178.2,肥満
53.4,151.0,普通
39.2,155.4,痩せ
76.8,176.9,普通
40.5,164.6,痩せ
62.7,155.8,肥満
48.4,158.3,普通
88.4,184.1,肥満
50.0,165.2,痩せ
81.4,154.4,肥満
77.8,178.4,普通
36.4,155.1,痩せ
42.6,182.0,痩せ
41.9,163.4,痩せ
40.1,154.4,痩せ
78.6,166.6,肥満
48.3,169.2,痩せ
86.1,151.0,肥満
48.6,171.0,痩せ
37.9,155.3,痩せ
52.3,168.5,痩せ
48.7,151.7,普通
44.0,174.9,痩せ
72.6,166.9,肥満
52.7,151.4,普通
37.6,153.2,痩せ
37.5,150.7,痩せ
68.8,151.6,肥満
47.9,159.8,普通
47.6,156.8,普通
78.2,183.9,普通
37.7,150.8,痩せ
57.7,153.9,普通
40.6,151.1,痩せ
79.4,170.1,肥満
35.0,157.6,痩せ
72.2,179.4,普通
68.5,159.5,肥満
43.2,162.1,痩せ
55.7,160.5,普通
82.0,161.6,肥満
58.4,152.5,肥満
48.9,155.9,普通
44.9,166.1,痩せ
67.7,159.0,肥満
43.7,173.2,痩せ
54.7,176.1,痩せ
77.8,167.5,肥満
43.2,178.2,痩せ
55.2,153.7,普通
78.3,183.8,普通
86.8,155.8,肥満
52.8,162.2,普通
81.1,175.5,肥満
70.4,159.7,肥満
72.0,169.7,肥満
42.2,156.0,痩せ
71.0,157.9,肥満
61.1,173.4,普通
51.0,155.6,普通
63.5,158.8,肥満
72.7,171.8,普通
71.9,166.0,肥満
43.6,165.5,痩せ
52.3,173.3,痩せ
62.2,163.0,普通
74.3,182.1,普通
68.8,168.1,普通
86.1,178.8,肥満
86.3,161.1,肥満
50.3,164.5,普通
65.1,157.3,肥満
73.0,154.1,肥満
75.3,155.6,肥満
63.2,153.8,肥満
72.7,184.8,普通
69.7,160.1,肥満
57.4,166.6,普通
47.5,178.9,痩せ
51.1,153.1,普通
44.4,165.9,痩せ
68.6,184.0,普通
62.3,150.4,肥満
40.5,167.4,痩せ
69.8,157.6,肥満
80.0,164.7,肥満
84.1,164.0,肥満
81.6,169.9,肥満
75.3,175.0,普通
38.0,172.7,痩せ
51.6,173.6,痩せ
88.2,160.0,肥満
49.6,168.5,痩せ
67.1,164.7,普通
83.6,166.3,肥満
58.7,171.7,普通
38.7,168.1,痩せ
86.0,181.2,肥満
37.6,169.8,痩せ
83.4,177.2,肥満
81.1,161.7,肥満
53.1,182.3,痩せ
57.1,165.4,普通
45.5,178.6,痩せ
38.6,164.2,痩せ
58.0,158.5,普通
55.4,159.3,普通
37.7,150.3,痩せ
46.7,172.0,痩せ
